^GSPC,AAPL,AMZN,GOOGL,META,MSFT,TSLA
1993.400024,25.375,28.87450027,36.57949829,109.5800018,52.34999847,13.04933262
1999.98999,25.75250053,28.75699997,36.51100159,108.3899994,52.02999878,13.40266705
2001.76001,25.46750069,28.13999939,35.63999939,105.7300034,51.02999878,13.68599987
1979.26001,25.25749969,28.01300049,35.67649841,105.9300003,51.65000153,13.50666714
1989.26001,25.28000069,27.9734993,36.27050018,107.5100021,52.84000015,13.91466713
1989.569946,25.29249954,27.94650078,36.60850143,107.3199997,52.04999924,13.67866707
2022.189941,25.56500053,28.48049927,37.24349976,109.4100037,53.06999969,13.83333302
2019.640015,25.62999916,28.6685009,37.51200104,109.8899994,53.16999817,14.34333324
2015.930054,26.14500046,28.85099983,37.5284996,110.6699982,53.59000015,14.55599976
2027.219971,26.49250031,28.71349907,37.86800003,112.1800003,54.34999847,14.79533291
2040.589966,26.45000076,27.97200012,37.92399979,111.0199966,54.65999985,15.09200001
2049.580078,26.47999954,27.60400009,37.77050018,111.4499969,53.49000168,15.51599979
2051.600098,26.47750092,27.6989994,38.10800171,111.8499985,53.86000061,15.88799953
2049.800049,26.68000031,28.02400017,38.00249863,112.25,54.06999969,15.61600018
2036.709961,26.53249931,28.48150063,37.87799835,112.5400009,53.97000122,14.83866692
2035.939941,26.41749954,29.14749908,37.74200058,113.0500031,54.20999908,15.1833334
2037.050049,26.29750061,28.99349976,37.66400146,113.6900024,53.54000092,15.350667
2055.01001,26.92000008,29.69300079,38.29449844,116.1399994,54.70999908,15.34200001
2063.949951,27.38999939,29.93449974,38.41699982,114.6999969,55.04999924,15.1260004
2059.73999,27.24749947,29.68199921,38.14500046,114.0999985,55.22999954,15.31799984
2072.780029,27.49749947,29.92499924,38.48350143,116.0599976,55.56999969,15.83933258
2066.129883,27.78000069,29.65950012,38.25600052,112.5500031,55.43000031,16.4659996
2045.170044,27.45249939,29.30699921,37.92850113,112.2200012,54.56000137,17.03133392
2066.659912,27.73999977,30.10400009,38.4034996,113.7099991,55.11999893,17.69466782
2041.910034,27.13500023,29.57150078,38.00600052,113.6399994,54.45999908,17.14666748
2047.599976,27.16500092,29.72999954,37.9734993,110.6299973,54.41999817,16.67133331
2041.98999,27.25499916,29.79649925,37.8769989,108.9899979,54.31000137,16.66133308
